verdict,text,part
"ת""פ 1272-06","ב""כ המאשימה עו""ד – בר-ששת",נוכחים:
"ת""פ 1272-06",הנאשם הורשע על פי הודאתו בעבירות של ציד חית בר בניגוד לחוק להגנת חיית הבר.,גזר דין
"ת""פ 1272-06","ב""כ המאשימה התייחס לחומרת העבירות ולאכזריות שבציד חוחיות וביקש להשית עונש הולם. הנאשם לא פירט את מצבו, הסביר שחש בושת פנים לתאר את מצבו הכלכלי בבית המשפט וטוען שהסביר אותו לקצינת המבחן.",גזר דין
"ת""פ 1272-06",במרומז ניתן ללמוד מהתסקיר שמצבו הכלכלי של הנאשם אינו שפיר והוא אב לשתי בנות.,גזר דין
"ת""פ 1272-06","ציד חיות בר ההולכות ונכחדות מסכן את אוצרות הטבע ואכן יש להשית ענישה מחמירה ומרתיעה. מאידך, ענישה היא לעולם פרטנית ויש אף להתחשב במצבו של הנאשם.",גזר דין
"ת""פ 1272-06",אשר על כן אני גוזר על הנאשם את העונשים כדלקמן:,גזר דין
"ת""פ 1272-06","קנס בסך 3,000 ₪ אשר ישולמו בעשרה תשלומים שווים החל מיום 16.7.2012 ואילך. יום מאסר חלף כל תשלום.",גזר דין
"ת""פ 1272-06","הנאשם יחתום על התחייבות עצמית על סך 3,000 ₪ להימנע מביצוע עבירות דומות במשך 3 שנים מהיום.",גזר דין
"ת""פ 1272-06","זכות ערעור לבימ""ש מחוזי בבאר שבע תוך 45 יום.",גזר דין
"ת""פ 1272-06","ניתנה והודעה היום ו' תמוז תשע""ב, 26/06/2012 במעמד הנוכחים.   ",<#6#>
"ת""פ 1272-06",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,"איל באומגרט, שופט"
"ת""פ 1272-06","בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן","איל באומגרט, שופט"
