verdict,text,part
"תפ (כ""ס) 1580∕07","חוק העונשין, תשל""ז-1977",חקיקה שאוזכרה: 
"תפ (כ""ס) 1580∕07","הנאשם הורשע על פי הודאתו  ובמסגרת הסדר טיעון בעבירה של החזקת נשק שלא כדין על פי סעיף 144 (א) רישא וסיפא לחוק העונשין,תשל""ז-1977 .",גזר דין
"תפ (כ""ס) 1580∕07","ביום 6.3.08 נכרת בין הצדדים הסדר טיעון, לפיו כתב האישום תוקן, הנאשם הודה בו, והורשע בגינו.",גזר דין
"תפ (כ""ס) 1580∕07",הוסכם בין הצדדים כי גרסתו של הנאשם כפי שנמסרה בהודעתו - אינה במחלוקת עובדתית ומשפטית.,גזר דין
"תפ (כ""ס) 1580∕07",	הצדדים יטענו כראות עיניהם לעניין העונש.,גזר דין
"תפ (כ""ס) 1580∕07","בטיעוניה לעונש  ציינה ב""כ המאשימה, כי עפ""י הודאתו החזיק הנאשם ברכבו נשק  טעון  במחסנית ועוד 3 מחסניות מוסלקות בשק. הנאשם טען כי מצא בבית סבתו נשק  ו- 4 מחסניות כאשר אחת מהן מלאה, בלא להתיחס לכך שהייתה בתוך הנשק או מחוצה לו, בעוד  שכאשר נמצא הנשק ברכבו , הנשק היה טעון במחסנית  המלאה ושלוש היו מחוצה לו.",גזר דין
"תפ (כ""ס) 1580∕07","הנאשם טען כי החביא את הנשק באדמה ליד הבית, ובזמן שנתפס עם הנשק היה בדרכו לקבור אותו באדמה ליד טירה. לפיכך - בנסיעתו ממקום ""קבורה"" אחד לשני הוא נסע עם נשק טעון ברכבו- זו עבירה חמורה מאד.",גזר דין
"תפ (כ""ס) 1580∕07","ב""כ המאשימה מפנה לפסיקה על פיה  עבירות נשק, לרבות החזקת נשק ללא רשיון הינן - עבירות חמורות, ועל אחת כמה וכמה  - נשק טעון.",גזר דין
"תפ (כ""ס) 1580∕07","מבקשת להטיל על הנאשם עונש מאסר בפועל ללא אפשרות המרה לעבודות שרות, לפחות בן 18 חודשים, מע""ת מרתיע, וקנס.",גזר דין
"תפ (כ""ס) 1580∕07","מאידך – ציין ב""כ הנאשם בטיעוניו כי נכרת הסדר טיעון החוסך זמן יקר לביהמ""ש, שצריך להוות נסיבה לקולא - ולא לחומרא.",גזר דין
