verdict,text,part
"תפ (כ""ס) 2945∕05","חוק העונשין, תשל""ז-1977: סע'  144, 192, 287, 381 (ב), 413, פרק ט'  ד'",חקיקה שאוזכרה: 
"תפ (כ""ס) 2945∕05","פקודת סדר הדין הפלילי (מעצר וחיפוש) [נוסח חדש], תשכ""ט-1969: סע'  47",חקיקה שאוזכרה: 
"תפ (כ""ס) 2945∕05","הנאשם הורשע, עפ""י הודאתו, בעבירות של: החזקת רכוש גנוב, בהיקף ניכר, עבירות בנשק, כמו גם בעבירה של התנגדות למעצר – עבירות לפי סע' 413, 144 לחוק העונשין, ובעבירה לפי סע' 47 לפקודת סדר הדין הפלילי – בתיק העיקרי.",גזר-דין
"תפ (כ""ס) 2945∕05","בנוסף, צירף הנאשם שני תיקים נוספים:",גזר-דין
"תפ (כ""ס) 2945∕05","פ. 2108/05 (כ""ס), שבו הורשע בעבירה של פריצה לרכב, עם אחר - עבירה לפי סע 413 (1) לחוק העונשין.",גזר-דין
"תפ (כ""ס) 2945∕05","פ. 4159/05 (נתניה), שבו הורשע בעבירות של תקיפת עובד ציבור – עובדת מל""ל - הפרת הוראה חוקית ואיומים – עבירות לפי סע' 381 (ב), 287, 192 לחוק העונשין.",גזר-דין
"תפ (כ""ס) 2945∕05","בתיק צירוף זה, צרף הנאשם מעשה לכוונה, והוסיף לאיומו כלפי עוה""צ, גם את השלכת המחשב משולחנה (!) – שפגע בידה, והכל עשה - בהפרת תנאי מעצר הבית.",גזר-דין
"תפ (כ""ס) 2945∕05","כאמור, הנאשם החזיק ברכוש רב מאד, החשוד כגנוב – כעולה מעובדות האישום הראשון, שעובדותיו לא תוקנו (ר' עמ' 19 שורה 9 לפרוטוקול), והשני.",גזר-דין
"תפ (כ""ס) 2945∕05","כמו כן, החזיק ב- 200 כדורי 0.9 מ""מ, ומחסנית לאקדח.",גזר-דין
"תפ (כ""ס) 2945∕05",על חומרת העבירות בנשק אין צורך להכביר מילים.,גזר-דין
"תפ (כ""ס) 2945∕05","כמו כן, רבות נכתב בדבר חומרת עבירות הרכוש, אשר הפכו ל""מכת מדינה"" של ממש במקומותינו - עבירות הפוגעות בציבור: בקנייניו, ובתחושת הביטחון האישי.",גזר-דין
"תפ (כ""ס) 2945∕05",מקל וחומר כאשר עבירה שכזו מבוצעת בצוותא – בתכנון מקדים.,גזר-דין
"תפ (כ""ס) 2945∕05","לענין העבירה של תקיפת עובד ציבור, כבר ציינתי, ולא אחת, שהחברה מחוייבת בהגנת שלוחיה - ועובדי ציבור בכלל זה.",גזר-דין
"תפ (כ""ס) 2945∕05","
אין כל ספק: המדובר בצבר עבירות מכביד.",גזר-דין
"תפ (כ""ס) 2945∕05","ציין זאת יפה, הסנגור המלומד: ""אני מסכים שהעבירות חמורות וחלקן אף מכוערות"" (עמ' 32 שו' 6 לפרוטוקול).",גזר-דין
"תפ (כ""ס) 2945∕05","צרף לכך שמדובר בנאשם שהוא רצידיווסט, בעל קשת עבריינית רחבה (חבלות במזיד ברכב, שבל""ר, נהיגה ללא רישיון, גניבות רכב, פריצה לרכבים בכוונה לגנוב, תקיפת שוטר, מסירת ידיעות כוזבות, שיבוש מהלכי משפט), כעולה מגיליון הרשעותיו – ת/1.",גזר-דין
"תפ (כ""ס) 2945∕05","נאשם זה כבר קיבל את יומו בבית המשפט, בשני גזרי דין, שבהם הומרו המאסרים לעבודות שירות, אך למרבה הצער - שב ושנה.",גזר-דין
"תפ (כ""ס) 2945∕05","טרם טיעונים לעונש, נשלח הנאשם 5 פעמים לשירות המבחן - לעריכת תסקירים בעניינו.",גזר-דין
"תפ (כ""ס) 2945∕05","מן התסקירים, עולה תמונה של נאשם, אשר כבר בגיל צעיר חבר לחברה שולית והחל להסתבך בפלילים, תוך שימוש בסמים.",גזר-דין
"תפ (כ""ס) 2945∕05","כיום, לאחר נישואיו, הוא נקי מסמים ונוטל  אחריות על התנהגותו.",גזר-דין
"תפ (כ""ס) 2945∕05","התסקיר של יום 3.9.06 פירט, כי הנאשם מסר בדיקות שתן נקיות מסם, הוא מגלה הבנה ומודעות למצבו המדורדר וקיימת מוטיבציה לשינוי.",גזר-דין
"תפ (כ""ס) 2945∕05","הואיל והנאשם ביקש לצרף את התיקים נוספים, נדחה הדיון לתסקיר משלים.",גזר-דין
"תפ (כ""ס) 2945∕05","התסקיר של יום 30.10.06 חסר את ההתיחסות  לצירוף התיקים הנוספים, אך למרות זאת שירות המבחן נשאר איתן בהמלצתו - להעמיד הנאשם במבחן סמים.",גזר-דין
"תפ (כ""ס) 2945∕05","בתסקיר המשלים מיום 27.11.06, לא התייחס שה""מ כלל לעניין ניקיונו מסמים של הנאשם, וחסר עד מאד - לעניין חומרת העבירות המיוחסות לנאשם בתיקי צירוף.",גזר-דין
"תפ (כ""ס) 2945∕05","מן התסקיר של יום 27.1.07 עולה, כי הנאשם ניתק את הקשר עם שירות המבחן.",גזר-דין
"תפ (כ""ס) 2945∕05","עוד לציין, כי לאורך כל ההליך, עמדה התביעה על עתירה למאסר בפועל.",גזר-דין
"תפ (כ""ס) 2945∕05","התסקיר האחרון מיום 22.2.07 מסכם, כי הנאשם נוטל אחריות מלאה על התנהגותו ואף מודע לחומרת העבירות והשלכותיהן.",גזר-דין
"תפ (כ""ס) 2945∕05","שירות המבחן חזר על המלצתו, להעמיד את הנאשם במבחן סמים – זאת ותו לא.",גזר-דין
"תפ (כ""ס) 2945∕05","אומר מיד: המלצה זו מקילה יתר על המידה, ואין ביכולתי לקבלה - נוכח חומרת העבירות והיקפן.",גזר-דין
"תפ (כ""ס) 2945∕05","לזכותו של הנאשם זקפתי, כמובן, את הודייתו בעובדות כתבי האישום, צירוף כלל תיקיו, הבעת החרטה וקבלת האחריות - כאמור בתסקירים- כמו גם שהרכוש נתפס.",גזר-דין
"תפ (כ""ס) 2945∕05","אולם, מימד ההרתעה, הגמול והסלידה החברתית ממעשיו של הנאשם- שהם ליבת האינטרס הציבורי - חייבים לקבל עדיפות על פני נסיבותיו.",גזר-דין
"תפ (כ""ס) 2945∕05","מקל וחומר, לאחר שכבר קיבל את יומו בהזדמנויות קודמות - ובכ""ז שב ושנה, לפי שלא הבין כהלכה את המסר המתחשב של בתי המשפט.",גזר-דין
"תפ (כ""ס) 2945∕05","העין הציבורית צופה לגז""ד שכאלה, ואינה יכולה לסבול ויתור על מימד הענישה הנ""ל –להרתעתו, הוא עצמו ואת הרבים – המחייב ענישת מאסר בפועל.",גזר-דין
"תפ (כ""ס) 2945∕05","יפים לכך הדברים שנאמרו בע""פ 4872/95, מ""י נ' גל אילון ואח':",גזר-דין
"תפ (כ""ס) 2945∕05","עם זאת, ברי, שהתסקירים החיוביים בעיקרם, שהנאשם נתן, אכן פעלו למיתון ממשי של הענישה.",גזר-דין
"תפ (כ""ס) 2945∕05","כללו של דבר,",גזר-דין
"תפ (כ""ס) 2945∕05","בהתחשב בנסיבות, ולאחר ששקלתי את כלל הנסיבות לקולא ולחומרא, אני דן את הנאשם לעונשים הבאים:",גזר-דין
"תפ (כ""ס) 2945∕05","אני גוזר על הנאשם 20 חודשי מאסר, מהם ירצה הנאשם 8 חודשים בפועל, ואילו 12חודשי מאסר יהיו על תנאי למשך 3 שנים, והתנאי הוא שבמשך 3 שנים לא יעבור עבירת אלימות מסוג פשע.",גזר-דין
"תפ (כ""ס) 2945∕05","כמו כן, אני גוזר על הנאשם 6 חודשי מאסר על תנאי, והתנאי הוא שבמשך שלוש שנים מהיום לא יעבור עבירת אלימות מסוג עוון, כמו גם עבירה בנשק.",גזר-דין
"תפ (כ""ס) 2945∕05","אני גוזר על הנאשם 6 חודשי מאסר על תנאי, והתנאי הוא שבמשך שלוש שנים מהיום לא יעבור עבירה לפי פרק ט' סימן ד' לחוק העונשין, ו/או התנגדות למעצר.",גזר-דין
"תפ (כ""ס) 2945∕05","בנוסף, הנאשם ישלם פיצוי כספי למתלוננת (ע""ת/4 בת.פ. 4159/05 נתניה), בסך של 1,500 ₪, באמצעות מזכירות ביהמ""ש.",גזר-דין
"תפ (כ""ס) 2945∕05",הפיצוי ישולם תוך 30 יום.,גזר-דין
"תפ (כ""ס) 2945∕05","המוצגים יושמדו או יחולטו לפי שקה""ד המשטרה, כאשר פסק הדין יהיה חלוט.",גזר-דין
"תפ (כ""ס) 2945∕05",זכות ערעור תוך 45 יום מהיום.,54678313
"תפ (כ""ס) 2945∕05","ניתן היום, כ""ו בסיון, תשס""ז (12 ביוני 2007), בפומבי, במעמד הצדדים.",חנוך פדר 54678313-2945/05
"תפ (כ""ס) 2945∕05",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,סגן נשיא
